"datetime.local","gas","amu","sample.id","sample.inlet","percent.saturation","umolL","umolL.sd","Ar_ratio","Ar_ratio.sd"
2024-09-05 03:48:01.94086,"CO2",44,197," Inlet 2 ",117.587139494082,14.6507229754514,0.0703678071448642,0.815707574580682,0
2024-09-05 03:51:56.193939,"CH4",16,198,"Reference",96.4282747855722,23.2926902699814,0.590134620086106,4.63921288018205,0
2024-09-05 03:51:56.193939,"N2",28,198,"Reference",100.470899602746,418.504029868194,1.08161651910884,27.2956180759306,0
2024-09-05 03:51:56.193939,"O2",32,198,"Reference",100.675758508608,231.063176639995,0.483622500037056,14.1825723538186,0
2024-09-05 03:51:56.193939,"CO2",44,198,"Reference",99.0387215186812,12.3396901995911,0.104815626042966,0.736063492100411,0
2024-09-05 03:56:27.188679,"CH4",16,199," Inlet 1 ",54.1442472084591,13.0787902503949,0.712643082347256,4.15689495054195,0
2024-09-05 03:56:27.188679,"N2",28,199," Inlet 1 ",104.433066669083,435.008140917559,1.76833808588875,26.5410712933084,0
2024-09-05 03:56:27.188679,"O2",32,199," Inlet 1 ",64.6164130803428,148.302569462633,0.494990434003136,8.88803184010515,0
2024-09-05 03:56:27.188679,"CO2",44,199," Inlet 1 ",175.096432946275,21.8160705679441,0.181536908435808,1.22790055763091,0
2024-09-05 04:00:42.13913,"CH4",16,200,"Reference",104.947311170267,25.3505024246492,0.723246941192612,4.62285069973282,0
2024-09-05 04:00:42.13913,"N2",28,200,"Reference",101.527242160631,422.90414591318,1.24085945607135,27.3071605960435,0
2024-09-05 04:00:42.13913,"O2",32,200,"Reference",101.359918601242,232.633407713256,0.639292384363749,14.1119447046867,0
2024-09-05 04:00:42.13913,"CO2",44,200,"Reference",100.454071037629,12.5160351111585,0.0968740974669619,0.738501039794564,0
2024-09-05 04:04:16.793103,"CH4",16,201," Inlet 2 ",100.237076501785,24.2127237235799,1.11200752539051,4.43966501508233,0
2024-09-05 04:04:16.793103,"N2",28,201," Inlet 2 ",102.518640709004,427.033742536086,2.02399355343605,26.6213757242203,0
2024-09-05 04:04:16.793103,"O2",32,201," Inlet 2 ",100.121711688763,229.791571438334,1.21912427249056,13.4579444293885,0
2024-09-05 04:04:16.793103,"CO2",44,201," Inlet 2 ",117.379478075151,14.6248494833796,0.0856438478880198,0.835774564057231,0
2024-09-05 04:08:17.823899,"CH4",16,202,"Reference",97.1882789958432,23.4762727587596,0.785273113375108,4.6646765373335,0
2024-09-05 04:08:17.823899,"N2",28,202,"Reference",100.055132905543,416.772184737392,2.10764389246781,27.29955550164,0
2024-09-05 04:08:17.823899,"O2",32,202,"Reference",100.240487480661,230.064176404917,1.12366496310129,14.1940344503485,0
2024-09-05 04:08:17.823899,"CO2",44,202,"Reference",99.0397560773108,12.3398191000129,0.104149244425957,0.739409762918124,0
2024-09-05 04:12:49.295238,"CH4",16,203," Inlet 1 ",53.2172853578059,12.8548783809005,0.553201911188761,4.16744260839862,0
2024-09-05 04:12:49.295238,"N2",28,203," Inlet 1 ",104.25169873178,434.252666317946,1.13706280979497,26.5808047620832,0
2024-09-05 04:12:49.295238,"O2",32,203," Inlet 1 ",64.1135944617806,147.148539247218,0.596555065689658,8.85666335252652,0
2024-09-05 04:12:49.295238,"CO2",44,203," Inlet 1 ",175.778603051268,21.9010652814253,0.1468604782242,1.23697514953077,0
2024-09-05 04:17:00.5,"CH4",16,204,"Reference",103.298480599041,24.9522198681205,0.570651167784497,4.64071965580499,0
2024-09-05 04:17:00.5,"N2",28,204,"Reference",101.115311863222,421.188281019246,0.971931438481255,27.3292447054882,0
2024-09-05 04:17:00.5,"O2",32,204,"Reference",100.84090211817,231.442201418078,0.68905043662814,14.120889030463,0
2024-09-05 04:17:00.5,"CO2",44,204,"Reference",100.399456635525,12.5092304514046,0.086179934046215,0.741867756701012,0
2024-09-05 04:20:38.235632,"CH4",16,205," Inlet 2 ",100.993669097903,24.3954821213748,0.610066139924774,4.48626877923947,0
